,bench_name,ext4_ncpu,ext4_ops,ext4_media,ext4_dax_ncpu,ext4_dax_ops,ext4_dax_media,ext4_dj_ncpu,ext4_dj_ops,ext4_dj_media,nova_ncpu,nova_ops,nova_media,p2cache_ncpu,p2cache_ops,p2cache_media,xfs_ncpu,xfs_ops,xfs_media,xfs_dax_ncpu,xfs_dax_ops,xfs_dax_media
0,100B,1,2480868.115235,ssd,1,1045950.68121,pmem,1,2342684.506768,ssd,1,2640762.119315,pmem,1,2682890.312612,pmem,1,1832113.479118,ssd,1,1323953.526195,pmem
1,16KB,1,329885.283118,ssd,1,295080.933835,pmem,1,295388.165723,ssd,1,466664.293089,pmem,1,408866.595544,pmem,1,295964.449583,ssd,1,301506.243042,pmem
2,1KB,1,1954759.499051,ssd,1,825809.703447,pmem,1,1931744.449746,ssd,1,1975016.951706,pmem,1,2136780.735521,pmem,1,1459944.585996,ssd,1,1050254.306382,pmem
3,1MB,1,4899.802859,ssd,1,6371.487593,pmem,1,4621.647726,ssd,1,6890.055174,pmem,1,6033.182504,pmem,1,5047.069841,ssd,1,6565.154672,pmem
4,2KB,1,1362179.745329,ssd,1,714027.148089,pmem,1,1343983.59395,ssd,1,1403445.654385,pmem,1,2265535.673389,pmem,1,1116104.80513,ssd,1,889302.010008,pmem
5,4KB,1,985281.515448,ssd,1,565079.994654,pmem,1,911947.957072,ssd,1,1012545.578147,pmem,1,1079848.409952,pmem,1,754951.286312,ssd,1,676832.511425,pmem
6,64KB,1,88362.034096,ssd,1,90399.470316,pmem,1,78566.016745,ssd,1,129742.399886,pmem,1,99903.657362,pmem,1,83759.783648,ssd,1,96775.527321,pmem
